privilege_type,privilege_name,privilege_description,privilege_score
scp,graphClient.IdentityGovernance.PermissionsManagement.ScheduledPermissionsRequests.PostAsync,"// To initialize your graphClient, see https://learn.microsoft.com/en-us/graph/sdks/create-client?from=snippets&tabs=csharp var result = await graphClient.IdentityGovernance.PermissionsManagement.ScheduledPermissionsRequests.PostAsync(requestBody);",8
scp,microsoft.graph.singleResourceAzurePermissionsDefinition,"# Code snippets are only available for the latest version. Current version is 1.x from msgraph_beta import GraphServiceClient from msgraph_beta.generated.models.scheduled_permissions_request import ScheduledPermissionsRequest from msgraph_beta.generated.models.single_resource_azure_permissions_definition import SingleResourceAzurePermissionsDefinition from msgraph_beta.generated.models.permissions_definition_authorization_system import PermissionsDefinitionAuthorizationSystem from msgraph_beta.generated.models.azure_role_permissions_definition_action import AzureRolePermissionsDefinitionAction from msgraph_beta.generated.models.permissions_definition_azure_role import PermissionsDefinitionAzureRole from msgraph_beta.generated.models.permissions_definition_authorization_system_identity import PermissionsDefinitionAuthorizationSystemIdentity from msgraph_beta.generated.models.ed_identity_source import EdIdentitySource from msgraph_beta.generated.models.permissions_definition_identity_type import PermissionsDefinitionIdentityType from msgraph_beta.generated.models.request_schedule import RequestSchedule from msgraph_beta.generated.models.expiration_pattern import ExpirationPattern from msgraph_beta.generated.models.ticket_info import TicketInfo # To initialize your graph_client, see https://learn.microsoft.com/en-us/graph/sdks/create-client?from=snippets&tabs=python request_body = ScheduledPermissionsRequest( requested_permissions = SingleResourceAzurePermissionsDefinition( odata_type = ""microsoft.graph.singleResourceAzurePermissionsDefinition"", authorization_system_info = PermissionsDefinitionAuthorizationSystem( authorization_system_id = ""87eefd90-95a3-480a-ba42-56ff299a05ee"", authorization_system_type = ""AZURE"", ), action_info = AzureRolePermissionsDefinitionAction( odata_type = ""microsoft.graph.azureRolePermissionsDefinitionAction"", roles = [ PermissionsDefinitionAzureRole( id = ""cdda3590-29a3-44f6-95f2-9f980659eb04"", ), PermissionsDefinitionAzureRole( id = ""312a565d-c81f-4fd8-895a-4e21e48d571c"", ), ], ), identity_info = PermissionsDefinitionAuthorizationSystemIdentity( external_id = ""alex@contoso.com"", source = EdIdentitySource( odata_type = ""microsoft.graph.edIdentitySource"", ), identity_type = PermissionsDefinitionIdentityType.User, ), resource_id = ""/subscriptions/87eefd90-95a3-480a-ba42-56ff299a05ee"", ), justification = ""I need to do this because I want to some new azure roles"", notes = ""Pretty Pleaseeeee"", schedule_info = RequestSchedule( expiration = ExpirationPattern( duration = ""PT1H"", ), recurrence = None, ), ticket_info = TicketInfo( ticket_number = ""INC1234567"", ticket_system = ""ServiceNow"", ticket_submitter_identity_id = ""alex@contoso.com"", ticket_approver_identity_id = ""alexmanager@contoso.com"", ), )",8
scp,microsoft.graph.azureRolePermissionsDefinitionAction,"# Code snippets are only available for the latest version. Current version is 1.x from msgraph_beta import GraphServiceClient from msgraph_beta.generated.models.scheduled_permissions_request import ScheduledPermissionsRequest from msgraph_beta.generated.models.single_resource_azure_permissions_definition import SingleResourceAzurePermissionsDefinition from msgraph_beta.generated.models.permissions_definition_authorization_system import PermissionsDefinitionAuthorizationSystem from msgraph_beta.generated.models.azure_role_permissions_definition_action import AzureRolePermissionsDefinitionAction from msgraph_beta.generated.models.permissions_definition_azure_role import PermissionsDefinitionAzureRole from msgraph_beta.generated.models.permissions_definition_authorization_system_identity import PermissionsDefinitionAuthorizationSystemIdentity from msgraph_beta.generated.models.ed_identity_source import EdIdentitySource from msgraph_beta.generated.models.permissions_definition_identity_type import PermissionsDefinitionIdentityType from msgraph_beta.generated.models.request_schedule import RequestSchedule from msgraph_beta.generated.models.expiration_pattern import ExpirationPattern from msgraph_beta.generated.models.ticket_info import TicketInfo # To initialize your graph_client, see https://learn.microsoft.com/en-us/graph/sdks/create-client?from=snippets&tabs=python request_body = ScheduledPermissionsRequest( requested_permissions = SingleResourceAzurePermissionsDefinition( odata_type = ""microsoft.graph.singleResourceAzurePermissionsDefinition"", authorization_system_info = PermissionsDefinitionAuthorizationSystem( authorization_system_id = ""87eefd90-95a3-480a-ba42-56ff299a05ee"", authorization_system_type = ""AZURE"", ), action_info = AzureRolePermissionsDefinitionAction( odata_type = ""microsoft.graph.azureRolePermissionsDefinitionAction"", roles = [ PermissionsDefinitionAzureRole( id = ""cdda3590-29a3-44f6-95f2-9f980659eb04"", ), PermissionsDefinitionAzureRole( id = ""312a565d-c81f-4fd8-895a-4e21e48d571c"", ), ], ), identity_info = PermissionsDefinitionAuthorizationSystemIdentity( external_id = ""alex@contoso.com"", source = EdIdentitySource( odata_type = ""microsoft.graph.edIdentitySource"", ), identity_type = PermissionsDefinitionIdentityType.User, ), resource_id = ""/subscriptions/87eefd90-95a3-480a-ba42-56ff299a05ee"", ), justification = ""I need to do this because I want to some new azure roles"", notes = ""Pretty Pleaseeeee"", schedule_info = RequestSchedule( expiration = ExpirationPattern( duration = ""PT1H"", ), recurrence = None, ), ticket_info = TicketInfo( ticket_number = ""INC1234567"", ticket_system = ""ServiceNow"", ticket_submitter_identity_id = ""alex@contoso.com"", ticket_approver_identity_id = ""alexmanager@contoso.com"", ), )",8
scp,microsoft.graph.singleResourceGcpPermissionsDefinition,"# Code snippets are only available for the latest version. Current version is 1.x from msgraph_beta import GraphServiceClient from msgraph_beta.generated.models.scheduled_permissions_request import ScheduledPermissionsRequest from msgraph_beta.generated.models.single_resource_gcp_permissions_definition import SingleResourceGcpPermissionsDefinition from msgraph_beta.generated.models.permissions_definition_authorization_system import PermissionsDefinitionAuthorizationSystem from msgraph_beta.generated.models.gcp_action_permissions_definition_action import GcpActionPermissionsDefinitionAction from msgraph_beta.generated.models.permissions_definition_authorization_system_identity import PermissionsDefinitionAuthorizationSystemIdentity from msgraph_beta.generated.models.ed_identity_source import EdIdentitySource from msgraph_beta.generated.models.permissions_definition_identity_type import PermissionsDefinitionIdentityType from msgraph_beta.generated.models.request_schedule import RequestSchedule from msgraph_beta.generated.models.expiration_pattern import ExpirationPattern from msgraph_beta.generated.models.ticket_info import TicketInfo # To initialize your graph_client, see https://learn.microsoft.com/en-us/graph/sdks/create-client?from=snippets&tabs=python request_body = ScheduledPermissionsRequest( requested_permissions = SingleResourceGcpPermissionsDefinition( odata_type = ""microsoft.graph.singleResourceGcpPermissionsDefinition"", authorization_system_info = PermissionsDefinitionAuthorizationSystem( authorization_system_id = ""carbide-bonsai-205017"", authorization_system_type = ""GCP"", ), action_info = GcpActionPermissionsDefinitionAction( odata_type = ""microsoft.graph.gcpActionPermissionsDefinitionAction"", actions = [ ""aiplatform:dataitems"", ], ), identity_info = PermissionsDefinitionAuthorizationSystemIdentity( external_id = ""alex@contoso.com"", source = EdIdentitySource( odata_type = ""microsoft.graph.edIdentitySource"", ), identity_type = PermissionsDefinitionIdentityType.User, ), resource_id = ""carbide-bonsai-205017"", ), justification = ""I need to do this because I want to code my own chat GPT-3 bot on GCP"", notes = ""Pretty Pleaseeeee"", schedule_info = RequestSchedule( expiration = ExpirationPattern( duration = ""PT1H"", ), ), ticket_info = TicketInfo( ticket_number = ""INC1234567"", ticket_system = ""ServiceNow"", ticket_submitter_identity_id = ""alex@contoso.com"", ticket_approver_identity_id = ""alexmanager@contoso.com"", ), )",8
scp,microsoft.graph.gcpActionPermissionsDefinitionAction,"# Code snippets are only available for the latest version. Current version is 1.x from msgraph_beta import GraphServiceClient from msgraph_beta.generated.models.scheduled_permissions_request import ScheduledPermissionsRequest from msgraph_beta.generated.models.single_resource_gcp_permissions_definition import SingleResourceGcpPermissionsDefinition from msgraph_beta.generated.models.permissions_definition_authorization_system import PermissionsDefinitionAuthorizationSystem from msgraph_beta.generated.models.gcp_action_permissions_definition_action import GcpActionPermissionsDefinitionAction from msgraph_beta.generated.models.permissions_definition_authorization_system_identity import PermissionsDefinitionAuthorizationSystemIdentity from msgraph_beta.generated.models.ed_identity_source import EdIdentitySource from msgraph_beta.generated.models.permissions_definition_identity_type import PermissionsDefinitionIdentityType from msgraph_beta.generated.models.request_schedule import RequestSchedule from msgraph_beta.generated.models.expiration_pattern import ExpirationPattern from msgraph_beta.generated.models.ticket_info import TicketInfo # To initialize your graph_client, see https://learn.microsoft.com/en-us/graph/sdks/create-client?from=snippets&tabs=python request_body = ScheduledPermissionsRequest( requested_permissions = SingleResourceGcpPermissionsDefinition( odata_type = ""microsoft.graph.singleResourceGcpPermissionsDefinition"", authorization_system_info = PermissionsDefinitionAuthorizationSystem( authorization_system_id = ""carbide-bonsai-205017"", authorization_system_type = ""GCP"", ), action_info = GcpActionPermissionsDefinitionAction( odata_type = ""microsoft.graph.gcpActionPermissionsDefinitionAction"", actions = [ ""aiplatform:dataitems"", ], ), identity_info = PermissionsDefinitionAuthorizationSystemIdentity( external_id = ""alex@contoso.com"", source = EdIdentitySource( odata_type = ""microsoft.graph.edIdentitySource"", ), identity_type = PermissionsDefinitionIdentityType.User, ), resource_id = ""carbide-bonsai-205017"", ), justification = ""I need to do this because I want to code my own chat GPT-3 bot on GCP"", notes = ""Pretty Pleaseeeee"", schedule_info = RequestSchedule( expiration = ExpirationPattern( duration = ""PT1H"", ), ), ticket_info = TicketInfo( ticket_number = ""INC1234567"", ticket_system = ""ServiceNow"", ticket_submitter_identity_id = ""alex@contoso.com"", ticket_approver_identity_id = ""alexmanager@contoso.com"", ), )",8
scp,Calendar.CalendarPermissions,"// To initialize your graphClient, see https://learn.microsoft.com/en-us/graph/sdks/create-client?from=snippets&tabs=csharp await graphClient.Users[""{user-id}""].Calendar.CalendarPermissions[""{calendarPermission-id}""].DeleteAsync();",8
scp,graphmodels.NewCalendarPermission,"requestBody := graphmodels.NewCalendarPermission() emailAddress := graphmodels.NewEmailAddress() name := ""Samantha Booth"" emailAddress.SetName(&name) address := ""samanthab@contoso.com"" emailAddress.SetAddress(&address) requestBody.SetEmailAddress(emailAddress) isInsideOrganization := true requestBody.SetIsInsideOrganization(&isInsideOrganization) isRemovable := true requestBody.SetIsRemovable(&isRemovable) role := graphmodels.READ_CALENDARROLETYPE requestBody.SetRole(&role)",8
scp,graphmodels.NewPermission,"requestBody := graphmodels.NewPermission() roles := []string { ""reader"", } requestBody.SetRoles(roles) grantedToV2 := graphmodels.NewSharePointIdentitySet() user := graphmodels.NewIdentity() additionalData := map[string]interface{}{ ""userPrincipalName"" : ""jacob@fabrikam.com"", } user.SetAdditionalData(additionalData) grantedToV2.SetUser(user) requestBody.SetGrantedToV2(grantedToV2)",8
scp,graphmodels.NewPermissionGrantPolicy,"requestBody := graphmodels.NewPermissionGrantPolicy() id := ""my-custom-consent-policy"" requestBody.SetId(&id) displayName := ""Custom application consent policy"" requestBody.SetDisplayName(&displayName) description := ""A custom permission grant policy to customize conditions for granting consent."" requestBody.SetDescription(&description)",8
scp,graphmodels.NewPermissionGrantPreApprovalPolicy,,8
scp,graphmodels.ALL_LABELKIND,"preApprovalDetail := graphmodels.NewPreApprovalDetail() scopeType := graphmodels.GROUP_RESOURCESCOPETYPE preApprovalDetail.SetScopeType(&scopeType) sensitivityLabels := graphmodels.NewAllScopeSensitivityLabels() labelKind := graphmodels.ALL_LABELKIND sensitivityLabels.SetLabelKind(&labelKind) preApprovalDetail.SetSensitivityLabels(sensitivityLabels) permissions := graphmodels.NewPreApprovedPermissions() permissionKind := graphmodels.ALLPERMISSIONSONRESOURCEAPP_PERMISSIONKIND permissions.SetPermissionKind(&permissionKind) permissionType := graphmodels.APPLICATION_PERMISSIONTYPE permissions.SetPermissionType(&permissionType) additionalData := map[string]interface{}{ ""resourceApplicationId"" : ""00000003-0000-0000-c000-000000000000"", } permissions.SetAdditionalData(additionalData) preApprovalDetail.SetPermissions(permissions)",20
scp,graphmodels.NewAllPreApprovedPermissions,"preApprovalDetail := graphmodels.NewPreApprovalDetail() scopeType := graphmodels.CHAT_RESOURCESCOPETYPE preApprovalDetail.SetScopeType(&scopeType) sensitivityLabels := graphmodels.NewAllScopeSensitivityLabels() labelKind := graphmodels.ALL_LABELKIND sensitivityLabels.SetLabelKind(&labelKind) preApprovalDetail.SetSensitivityLabels(sensitivityLabels) permissions := graphmodels.NewAllPreApprovedPermissions() permissionKind := graphmodels.ALL_PERMISSIONKIND permissions.SetPermissionKind(&permissionKind) permissionType := graphmodels.APPLICATION_PERMISSIONTYPE permissions.SetPermissionType(&permissionType) preApprovalDetail.SetPermissions(permissions) preApprovalDetail1 := graphmodels.NewPreApprovalDetail() scopeType := graphmodels.GROUP_RESOURCESCOPETYPE preApprovalDetail1.SetScopeType(&scopeType) permissions := graphmodels.NewEnumeratedPreApprovedPermissions() permissionKind := graphmodels.ENUMERATED_PERMISSIONKIND permissions.SetPermissionKind(&permissionKind) permissionType := graphmodels.APPLICATION_PERMISSIONTYPE permissions.SetPermissionType(&permissionType) resourceApplicationId := ""00000003-0000-0000-c000-000000000000"" permissions.SetResourceApplicationId(&resourceApplicationId) permissionIds := []string { ""134483aa-3dda-4d65-ac91-b8dda1417875"", ""9d33613d-f855-483b-bca7-ea63ac9f5485"", } permissions.SetPermissionIds(permissionIds) preApprovalDetail1.SetPermissions(permissions) additionalData := map[string]interface{}{ scopeSensitivityLabels := graphmodels.NewEnumeratedScopeSensitivityLabels() labelKind := graphmodels.ENUMERATED_LABELKIND scopeSensitivityLabels.SetLabelKind(&labelKind) sensitivityLabels := []string { ""d9c43deb-f3e1-4422-9fd6-ccf22a3206b8"", ""c99dade2-aa54-4890-ac1c-a146fa26bd1e"", } scopeSensitivityLabels.SetSensitivityLabels(sensitivityLabels) preApprovalDetail1.SetScopeSensitivityLabels(scopeSensitivityLabels) } preApprovalDetail1.SetAdditionalData(additionalData)",20
scp,graphmodels.ALL_PERMISSIONKIND,"preApprovalDetail := graphmodels.NewPreApprovalDetail() scopeType := graphmodels.CHAT_RESOURCESCOPETYPE preApprovalDetail.SetScopeType(&scopeType) sensitivityLabels := graphmodels.NewAllScopeSensitivityLabels() labelKind := graphmodels.ALL_LABELKIND sensitivityLabels.SetLabelKind(&labelKind) preApprovalDetail.SetSensitivityLabels(sensitivityLabels) permissions := graphmodels.NewAllPreApprovedPermissions() permissionKind := graphmodels.ALL_PERMISSIONKIND permissions.SetPermissionKind(&permissionKind) permissionType := graphmodels.APPLICATION_PERMISSIONTYPE permissions.SetPermissionType(&permissionType) preApprovalDetail.SetPermissions(permissions) preApprovalDetail1 := graphmodels.NewPreApprovalDetail() scopeType := graphmodels.GROUP_RESOURCESCOPETYPE preApprovalDetail1.SetScopeType(&scopeType) permissions := graphmodels.NewEnumeratedPreApprovedPermissions() permissionKind := graphmodels.ENUMERATED_PERMISSIONKIND permissions.SetPermissionKind(&permissionKind) permissionType := graphmodels.APPLICATION_PERMISSIONTYPE permissions.SetPermissionType(&permissionType) resourceApplicationId := ""00000003-0000-0000-c000-000000000000"" permissions.SetResourceApplicationId(&resourceApplicationId) permissionIds := []string { ""134483aa-3dda-4d65-ac91-b8dda1417875"", ""9d33613d-f855-483b-bca7-ea63ac9f5485"", } permissions.SetPermissionIds(permissionIds) preApprovalDetail1.SetPermissions(permissions) additionalData := map[string]interface{}{ scopeSensitivityLabels := graphmodels.NewEnumeratedScopeSensitivityLabels() labelKind := graphmodels.ENUMERATED_LABELKIND scopeSensitivityLabels.SetLabelKind(&labelKind) sensitivityLabels := []string { ""d9c43deb-f3e1-4422-9fd6-ccf22a3206b8"", ""c99dade2-aa54-4890-ac1c-a146fa26bd1e"", } scopeSensitivityLabels.SetSensitivityLabels(sensitivityLabels) preApprovalDetail1.SetScopeSensitivityLabels(scopeSensitivityLabels) } preApprovalDetail1.SetAdditionalData(additionalData)",20
scp,permissions.SetPermissionKind,"preApprovalDetail := graphmodels.NewPreApprovalDetail() scopeType := graphmodels.GROUP_RESOURCESCOPETYPE preApprovalDetail.SetScopeType(&scopeType) sensitivityLabels := graphmodels.NewAllScopeSensitivityLabels() labelKind := graphmodels.ALL_LABELKIND sensitivityLabels.SetLabelKind(&labelKind) preApprovalDetail.SetSensitivityLabels(sensitivityLabels) permissions := graphmodels.NewPreApprovedPermissions() permissionKind := graphmodels.ALLPERMISSIONSONRESOURCEAPP_PERMISSIONKIND permissions.SetPermissionKind(&permissionKind) permissionType := graphmodels.APPLICATION_PERMISSIONTYPE permissions.SetPermissionType(&permissionType) additionalData := map[string]interface{}{ ""resourceApplicationId"" : ""00000003-0000-0000-c000-000000000000"", } permissions.SetAdditionalData(additionalData) preApprovalDetail.SetPermissions(permissions)",8
scp,graphmodels.APPLICATION_PERMISSIONTYPE,"preApprovalDetail := graphmodels.NewPreApprovalDetail() scopeType := graphmodels.GROUP_RESOURCESCOPETYPE preApprovalDetail.SetScopeType(&scopeType) sensitivityLabels := graphmodels.NewAllScopeSensitivityLabels() labelKind := graphmodels.ALL_LABELKIND sensitivityLabels.SetLabelKind(&labelKind) preApprovalDetail.SetSensitivityLabels(sensitivityLabels) permissions := graphmodels.NewPreApprovedPermissions() permissionKind := graphmodels.ALLPERMISSIONSONRESOURCEAPP_PERMISSIONKIND permissions.SetPermissionKind(&permissionKind) permissionType := graphmodels.APPLICATION_PERMISSIONTYPE permissions.SetPermissionType(&permissionType) additionalData := map[string]interface{}{ ""resourceApplicationId"" : ""00000003-0000-0000-c000-000000000000"", } permissions.SetAdditionalData(additionalData) preApprovalDetail.SetPermissions(permissions)",8
scp,permissions.SetPermissionType,"preApprovalDetail := graphmodels.NewPreApprovalDetail() scopeType := graphmodels.GROUP_RESOURCESCOPETYPE preApprovalDetail.SetScopeType(&scopeType) sensitivityLabels := graphmodels.NewAllScopeSensitivityLabels() labelKind := graphmodels.ALL_LABELKIND sensitivityLabels.SetLabelKind(&labelKind) preApprovalDetail.SetSensitivityLabels(sensitivityLabels) permissions := graphmodels.NewPreApprovedPermissions() permissionKind := graphmodels.ALLPERMISSIONSONRESOURCEAPP_PERMISSIONKIND permissions.SetPermissionKind(&permissionKind) permissionType := graphmodels.APPLICATION_PERMISSIONTYPE permissions.SetPermissionType(&permissionType) additionalData := map[string]interface{}{ ""resourceApplicationId"" : ""00000003-0000-0000-c000-000000000000"", } permissions.SetAdditionalData(additionalData) preApprovalDetail.SetPermissions(permissions)",8
scp,preApprovalDetail.SetPermissions,"preApprovalDetail := graphmodels.NewPreApprovalDetail() scopeType := graphmodels.GROUP_RESOURCESCOPETYPE preApprovalDetail.SetScopeType(&scopeType) sensitivityLabels := graphmodels.NewAllScopeSensitivityLabels() labelKind := graphmodels.ALL_LABELKIND sensitivityLabels.SetLabelKind(&labelKind) preApprovalDetail.SetSensitivityLabels(sensitivityLabels) permissions := graphmodels.NewPreApprovedPermissions() permissionKind := graphmodels.ALLPERMISSIONSONRESOURCEAPP_PERMISSIONKIND permissions.SetPermissionKind(&permissionKind) permissionType := graphmodels.APPLICATION_PERMISSIONTYPE permissions.SetPermissionType(&permissionType) additionalData := map[string]interface{}{ ""resourceApplicationId"" : ""00000003-0000-0000-c000-000000000000"", } permissions.SetAdditionalData(additionalData) preApprovalDetail.SetPermissions(permissions)",8
scp,graphmodels.NewEnumeratedPreApprovedPermissions,"preApprovalDetail := graphmodels.NewPreApprovalDetail() scopeType := graphmodels.CHAT_RESOURCESCOPETYPE preApprovalDetail.SetScopeType(&scopeType) sensitivityLabels := graphmodels.NewAllScopeSensitivityLabels() labelKind := graphmodels.ALL_LABELKIND sensitivityLabels.SetLabelKind(&labelKind) preApprovalDetail.SetSensitivityLabels(sensitivityLabels) permissions := graphmodels.NewAllPreApprovedPermissions() permissionKind := graphmodels.ALL_PERMISSIONKIND permissions.SetPermissionKind(&permissionKind) permissionType := graphmodels.APPLICATION_PERMISSIONTYPE permissions.SetPermissionType(&permissionType) preApprovalDetail.SetPermissions(permissions) preApprovalDetail1 := graphmodels.NewPreApprovalDetail() scopeType := graphmodels.GROUP_RESOURCESCOPETYPE preApprovalDetail1.SetScopeType(&scopeType) permissions := graphmodels.NewEnumeratedPreApprovedPermissions() permissionKind := graphmodels.ENUMERATED_PERMISSIONKIND permissions.SetPermissionKind(&permissionKind) permissionType := graphmodels.APPLICATION_PERMISSIONTYPE permissions.SetPermissionType(&permissionType) resourceApplicationId := ""00000003-0000-0000-c000-000000000000"" permissions.SetResourceApplicationId(&resourceApplicationId) permissionIds := []string { ""134483aa-3dda-4d65-ac91-b8dda1417875"", ""9d33613d-f855-483b-bca7-ea63ac9f5485"", } permissions.SetPermissionIds(permissionIds) preApprovalDetail1.SetPermissions(permissions) additionalData := map[string]interface{}{ scopeSensitivityLabels := graphmodels.NewEnumeratedScopeSensitivityLabels() labelKind := graphmodels.ENUMERATED_LABELKIND scopeSensitivityLabels.SetLabelKind(&labelKind) sensitivityLabels := []string { ""d9c43deb-f3e1-4422-9fd6-ccf22a3206b8"", ""c99dade2-aa54-4890-ac1c-a146fa26bd1e"", } scopeSensitivityLabels.SetSensitivityLabels(sensitivityLabels) preApprovalDetail1.SetScopeSensitivityLabels(scopeSensitivityLabels) } preApprovalDetail1.SetAdditionalData(additionalData)",8
scp,graphmodels.ENUMERATED_PERMISSIONKIND,"preApprovalDetail := graphmodels.NewPreApprovalDetail() scopeType := graphmodels.CHAT_RESOURCESCOPETYPE preApprovalDetail.SetScopeType(&scopeType) sensitivityLabels := graphmodels.NewAllScopeSensitivityLabels() labelKind := graphmodels.ALL_LABELKIND sensitivityLabels.SetLabelKind(&labelKind) preApprovalDetail.SetSensitivityLabels(sensitivityLabels) permissions := graphmodels.NewAllPreApprovedPermissions() permissionKind := graphmodels.ALL_PERMISSIONKIND permissions.SetPermissionKind(&permissionKind) permissionType := graphmodels.APPLICATION_PERMISSIONTYPE permissions.SetPermissionType(&permissionType) preApprovalDetail.SetPermissions(permissions) preApprovalDetail1 := graphmodels.NewPreApprovalDetail() scopeType := graphmodels.GROUP_RESOURCESCOPETYPE preApprovalDetail1.SetScopeType(&scopeType) permissions := graphmodels.NewEnumeratedPreApprovedPermissions() permissionKind := graphmodels.ENUMERATED_PERMISSIONKIND permissions.SetPermissionKind(&permissionKind) permissionType := graphmodels.APPLICATION_PERMISSIONTYPE permissions.SetPermissionType(&permissionType) resourceApplicationId := ""00000003-0000-0000-c000-000000000000"" permissions.SetResourceApplicationId(&resourceApplicationId) permissionIds := []string { ""134483aa-3dda-4d65-ac91-b8dda1417875"", ""9d33613d-f855-483b-bca7-ea63ac9f5485"", } permissions.SetPermissionIds(permissionIds) preApprovalDetail1.SetPermissions(permissions) additionalData := map[string]interface{}{ scopeSensitivityLabels := graphmodels.NewEnumeratedScopeSensitivityLabels() labelKind := graphmodels.ENUMERATED_LABELKIND scopeSensitivityLabels.SetLabelKind(&labelKind) sensitivityLabels := []string { ""d9c43deb-f3e1-4422-9fd6-ccf22a3206b8"", ""c99dade2-aa54-4890-ac1c-a146fa26bd1e"", } scopeSensitivityLabels.SetSensitivityLabels(sensitivityLabels) preApprovalDetail1.SetScopeSensitivityLabels(scopeSensitivityLabels) } preApprovalDetail1.SetAdditionalData(additionalData)",8
scp,permissions.SetResourceApplicationId,"preApprovalDetail := graphmodels.NewPreApprovalDetail() scopeType := graphmodels.CHAT_RESOURCESCOPETYPE preApprovalDetail.SetScopeType(&scopeType) sensitivityLabels := graphmodels.NewAllScopeSensitivityLabels() labelKind := graphmodels.ALL_LABELKIND sensitivityLabels.SetLabelKind(&labelKind) preApprovalDetail.SetSensitivityLabels(sensitivityLabels) permissions := graphmodels.NewAllPreApprovedPermissions() permissionKind := graphmodels.ALL_PERMISSIONKIND permissions.SetPermissionKind(&permissionKind) permissionType := graphmodels.APPLICATION_PERMISSIONTYPE permissions.SetPermissionType(&permissionType) preApprovalDetail.SetPermissions(permissions) preApprovalDetail1 := graphmodels.NewPreApprovalDetail() scopeType := graphmodels.GROUP_RESOURCESCOPETYPE preApprovalDetail1.SetScopeType(&scopeType) permissions := graphmodels.NewEnumeratedPreApprovedPermissions() permissionKind := graphmodels.ENUMERATED_PERMISSIONKIND permissions.SetPermissionKind(&permissionKind) permissionType := graphmodels.APPLICATION_PERMISSIONTYPE permissions.SetPermissionType(&permissionType) resourceApplicationId := ""00000003-0000-0000-c000-000000000000"" permissions.SetResourceApplicationId(&resourceApplicationId) permissionIds := []string { ""134483aa-3dda-4d65-ac91-b8dda1417875"", ""9d33613d-f855-483b-bca7-ea63ac9f5485"", } permissions.SetPermissionIds(permissionIds) preApprovalDetail1.SetPermissions(permissions) additionalData := map[string]interface{}{ scopeSensitivityLabels := graphmodels.NewEnumeratedScopeSensitivityLabels() labelKind := graphmodels.ENUMERATED_LABELKIND scopeSensitivityLabels.SetLabelKind(&labelKind) sensitivityLabels := []string { ""d9c43deb-f3e1-4422-9fd6-ccf22a3206b8"", ""c99dade2-aa54-4890-ac1c-a146fa26bd1e"", } scopeSensitivityLabels.SetSensitivityLabels(sensitivityLabels) preApprovalDetail1.SetScopeSensitivityLabels(scopeSensitivityLabels) } preApprovalDetail1.SetAdditionalData(additionalData)",8
scp,permissions.SetPermissionIds,"preApprovalDetail := graphmodels.NewPreApprovalDetail() scopeType := graphmodels.CHAT_RESOURCESCOPETYPE preApprovalDetail.SetScopeType(&scopeType) sensitivityLabels := graphmodels.NewAllScopeSensitivityLabels() labelKind := graphmodels.ALL_LABELKIND sensitivityLabels.SetLabelKind(&labelKind) preApprovalDetail.SetSensitivityLabels(sensitivityLabels) permissions := graphmodels.NewAllPreApprovedPermissions() permissionKind := graphmodels.ALL_PERMISSIONKIND permissions.SetPermissionKind(&permissionKind) permissionType := graphmodels.APPLICATION_PERMISSIONTYPE permissions.SetPermissionType(&permissionType) preApprovalDetail.SetPermissions(permissions) preApprovalDetail1 := graphmodels.NewPreApprovalDetail() scopeType := graphmodels.GROUP_RESOURCESCOPETYPE preApprovalDetail1.SetScopeType(&scopeType) permissions := graphmodels.NewEnumeratedPreApprovedPermissions() permissionKind := graphmodels.ENUMERATED_PERMISSIONKIND permissions.SetPermissionKind(&permissionKind) permissionType := graphmodels.APPLICATION_PERMISSIONTYPE permissions.SetPermissionType(&permissionType) resourceApplicationId := ""00000003-0000-0000-c000-000000000000"" permissions.SetResourceApplicationId(&resourceApplicationId) permissionIds := []string { ""134483aa-3dda-4d65-ac91-b8dda1417875"", ""9d33613d-f855-483b-bca7-ea63ac9f5485"", } permissions.SetPermissionIds(permissionIds) preApprovalDetail1.SetPermissions(permissions) additionalData := map[string]interface{}{ scopeSensitivityLabels := graphmodels.NewEnumeratedScopeSensitivityLabels() labelKind := graphmodels.ENUMERATED_LABELKIND scopeSensitivityLabels.SetLabelKind(&labelKind) sensitivityLabels := []string { ""d9c43deb-f3e1-4422-9fd6-ccf22a3206b8"", ""c99dade2-aa54-4890-ac1c-a146fa26bd1e"", } scopeSensitivityLabels.SetSensitivityLabels(sensitivityLabels) preApprovalDetail1.SetScopeSensitivityLabels(scopeSensitivityLabels) } preApprovalDetail1.SetAdditionalData(additionalData)",8
