privilege_type,privilege_name,privilege_description,privilege_score,suggested_privilege_score,extended_description
scp,Place.ReadWrite.All,Place.ReadWrite.All,5,15,"Place.ReadWrite.All allows an application to read and write all place data, including sensitive data such as name, address, and phone number. This privilege can be used for legitimate purposes such as creating a new place or updating existing one, but it also poses a security risk if not used carefully. It is recommended that only trusted applications are granted this privilege and that proper access controls are in place to prevent unauthorized access."
scp,Place.Read.All,Place.Read.All,5,15,"The 'Place.Read.All' privilege allows an application to read information about places, including their name, address, and location. This can be useful for applications that need to access this information without requiring a user to provide explicit permission.

However, it is important to note that the use of this privilege may have security implications. If an application has this privilege, it will be able to read information about places without the user's knowledge or consent. This could potentially be used to gather sensitive information about the user or their location.

Therefore, it is important to carefully consider whether an application needs this privilege and to only grant it if necessary. Additionally, applications that use this privilege should take steps to protect the privacy of the user and to ensure that the information is only used for legitimate purposes."
scp,BusinessScenarioConfig.ReadWrite.OwnedBy,"BusinessScenarioConfig.Read.All, BusinessScenarioConfig.ReadWrite.All, BusinessScenarioConfig.ReadWrite.OwnedBy",5,1,"The BusinessScenarioConfig.ReadWrite.OwnedBy privilege allows a user to read and write all business scenarios that they own, including their configuration and settings. This privilege can be used by a user who is responsible for managing their own business scenarios, such as a project manager or team lead.

Security Implications:
Granting this privilege to a user could potentially allow them to access and modify sensitive information related to the organization's business scenarios, such as financial data or customer information. It is important to ensure that users who are granted this privilege have a legitimate need for it and that their actions are monitored and audited.

Use-cases:
This privilege could be used by a user who is responsible for managing their own business scenarios, such as a project manager or team lead. It could also be used by an administrator who needs to perform maintenance tasks related to the organization's business scenarios, such as updating configuration settings or fixing errors.

Guidance:
When granting this privilege, it is important to consider the following best practices:

* Only grant this privilege to users who have a legitimate need for it and who can be trusted with sensitive information.
* Use role-based access control (RBAC) to grant this privilege only to users who are members of roles that require it, such as project managers or team leads.
* Monitor and audit user actions to ensure compliance with security policies and regulations."
scp,BusinessScenarioConfig.ReadWrite.All,"BusinessScenarioConfig.Read.All, BusinessScenarioConfig.ReadWrite.All, BusinessScenarioConfig.ReadWrite.OwnedBy",5,19,BusinessScenarioConfig.ReadWrite.All
scp,BusinessScenarioConfig.Read.OwnedBy,BusinessScenarioConfig.Read.OwnedBy,5,10,"BusinessScenarioConfig.Read.OwnedBy is an SCP privilege that allows a user to read business scenario configurations that they own. This privilege can be used by business users who need to manage their own business scenarios,such as creating,editing,or deleting them. It is important to note that this privilege does not allow the user to access or modify business scenarios owned by other users."
scp,BusinessScenarioConfig.Read.All,"BusinessScenarioConfig.Read.All, BusinessScenarioConfig.ReadWrite.All, BusinessScenarioConfig.ReadWrite.OwnedBy",5,15,"""extended_description"": ""The BusinessScenarioConfig.Read.All privilege allows the application to read all business scenario configurations for your organization. This includes access to sensitive information such as customer data and financial information, and could potentially be used to impersonate users or steal sensitive information. It is important to only grant this privilege to applications that have a legitimate reason to access this data and to monitor their use of it closely."""
scp,BusinessScenarioData.ReadWrite.OwnedBy,BusinessScenarioData.ReadWrite.OwnedBy,5,18,"Allows the user to read and write data for business scenarios they own, including creating new scenarios and editing existing ones. This privilege should only be granted to trusted users who are responsible for managing the business scenarios. Granting this privilege to a large number of users or to users who do not need it could potentially allow them to access or modify sensitive data."
scp,BusinessScenarioData.Read.OwnedBy,BusinessScenarioData.Read.OwnedBy,5,15,"Allows reading of data owned by the user or user's organization, including personal and organizational data, such as emails, calendar items, and tasks. This privilege is used in scenarios where an application needs to access data that belongs to the user or user's organization, such as a task management app that needs to read all tasks assigned to the user."
scp,Calendars.ReadBasic,"Calendars.Read, Calendars.ReadBasic, Calendars.ReadWrite, Group.ReadWrite.All",5,10,"Note: The description field should be enclosed in double-quotes if it contains commas,newlines,or other special characters."
scp,Calendars.Read.Shared,"Calendars.ReadWrite, Calendars.Read, Calendars.Read.Shared",5,15,"It is important to note that this privilege does not allow an application to read a user's personal calendar data,only the shared calendar data. Additionally,this privilege should be used with caution as it could potentially expose sensitive information if not properly secured."
roles,Calls.AccessMedia.All,Calls.AccessMedia.All,20,17,"extended_description: ""The Calls.AccessMedia.All privilege allows an application to access media streams during a call, including video and audio. This privilege is necessary for applications that need to access these streams in order to provide a certain functionality, such as video conferencing or screen sharing. However, it's important to note that this privilege may increase the risk of data breaches or other security incidents if not handled properly."""
roles,OnlineMeetingRecording.Read.All,OnlineMeetingRecording.Read.All,5,14,"OnlineMeetingRecording.Read.All allows an application to read all online meeting recordings that the user can access. This includes both recorded and ongoing meetings. The application will have access to the recording content, metadata, and status information. This privilege is required for applications that want to integrate with Microsoft Teams meeting recordings. It should be used in conjunction with other related privileges, such as OnlineMeetingRecording.ReadWrite.All, which allows the application to create and update meetings."
roles,CallRecords.Read.All,CallRecords.Read.All,5,16,"Read call records for all users in your organization. This privilege allows an application to read call records of any user in your organization, including sensitive information such as phone numbers and duration of calls. This privilege should only be granted to applications that have a legitimate business reason to access this data, and should be used with caution.

Use case: A customer service application may use this privilege to read call records of customers who have called the help desk, in order to provide better support and resolve issues more efficiently.

Guidance: Before granting this privilege to an application, consider whether it is necessary for the application's intended use case, and whether there are any alternative ways to achieve the same outcome without requiring access to sensitive call record data. Additionally, ensure that the application is developed by a trusted source and has strong security measures in place to protect user data."
scp,CallDelegation.Read,CallDelegation.Read,5,14,"Allow an application to read the call delegation configuration for a user. This privilege allows an attacker to access sensitive information about the user's delegations, including the target email address and scope of delegation. If this privilege is granted to an untrusted application, it could potentially lead to identity theft or unauthorized access to sensitive information."
scp,CallDelegation.ReadWrite,CallDelegation.ReadWrite,5,20,"CallDelegation.ReadWrite allows an application to read and write call delegation data, including the ability to assign or revoke call delegates for a user. This privilege can be used by applications that need to manage call delegation settings for their users, such as virtual assistants or other types of productivity tools. Security implications include the potential for an attacker to escalate privileges if they are able to gain access to the application's credentials or data. Use-cases may include assigning call delegates for a user or revoking existing delegations. Guidance should be provided to ensure that the privilege is only granted to applications that have a legitimate reason to access this data and that appropriate security measures are in place to protect against unauthorized access."
roles,OnlineMeetingTranscript.Read.All,OnlineMeetingTranscript.Read.All,5,10,"Example: ""OnlineMeetingTranscript.Read.All"""
scp,AppCertTrustConfiguration.Read.All,AppCertTrustConfiguration.Read.All,5,14,"This privilege is used by applications that need to perform certificate verification but do not require write access to the CA configuration. For example,a web browser may use this privilege to verify the authenticity of SSL certificates from an internal CA,without being able to modify the CA's configuration."
scp,AppCertTrustConfiguration.ReadWrite.All,AppCertTrustConfiguration.ReadWrite.All,5,14,"AppCertTrustConfiguration.ReadWrite.All allows an application to read and write configuration data for App Certification. This privilege is used to manage the App Certification process, including reading and writing certificates and related information.

Use-case: An application that requires access to the App Certification infrastructure, such as a CI/CD pipeline or an app packaging tool, may need this privilege to function correctly.

Security implications: This privilege grants broad access to the App Certification configuration data, which could potentially be used to compromise the security of the platform. Therefore, it is recommended to use this privilege with caution and only grant it to trusted applications or users."
scp,PublicKeyInfrastructure.Read.All,PublicKeyInfrastructure.Read.All,5,10,"PublicKeyInfrastructure.Read.All allows an application to read all public key infrastructure objects in a tenant, including certificate authorities, certificate revocation lists, and trusted root certificates. This privilege is used by applications that need to verify the authenticity of digital signatures or validate the identity of a user based on their public key.

Security implications: Granting this privilege to an application may expose sensitive information about the tenant's public key infrastructure, such as private keys or certificates. It is important to carefully review and evaluate the security posture of any application that requires this privilege.

Use-cases:

* An email client may use PublicKeyInfrastructure.Read.All to verify the authenticity of digital signatures on incoming emails.
* A web server may use PublicKeyInfrastructure.Read.All to validate the identity of clients using a public key certificate for authentication.

Guidance:

* This privilege should only be granted to applications that have a legitimate need to access the tenant's public key infrastructure.
* Applications that require this privilege should be thoroughly reviewed and evaluated to ensure they are secure and trustworthy.
* The scope of this privilege should be limited to the minimum set of objects and operations required by the application, to minimize the potential impact of a security breach."
scp,PublicKeyInfrastructure.ReadWrite.All,PublicKeyInfrastructure.ReadWrite.All,5,10,"The 'PublicKeyInfrastructure.ReadWrite.All' privilege allows an application to read and write all public key infrastructure objects, including keys, certificates, certificate authorities, and certificate revocation lists. This includes the ability to create new keys and certificates, as well as to update and delete existing ones.

Security implications:
This privilege grants broad access to sensitive information and could potentially allow an application to compromise the security of the entire system if it is not properly secured. It should be used with caution and only granted to trusted applications that require this level of access for legitimate reasons.

Use-cases:
There are several use-cases where this privilege may be necessary, such as in a public key infrastructure management tool or a certificate authority software that requires the ability to manage keys and certificates on behalf of users.

Guidance:
When granting this privilege, it is important to ensure that the application has the necessary security controls in place to prevent unauthorized access or misuse of the privilege. This may include implementing robust authentication and authorization mechanisms, as well as logging and monitoring all access to sensitive information. Additionally, regular reviews and audits should be conducted to ensure that the privilege is being used appropriately and safely."
scp,MutualTlsOauthConfiguration.Read.All,MutualTlsOauthConfiguration.Read.All,5,17,Read your organization's Mutual TLS OAuth configuration.
scp,MutualTlsOauthConfiguration.ReadWrite.All,MutualTlsOauthConfiguration.ReadWrite.All,5,16,"The 'MutualTlsOauthConfiguration.ReadWrite.All' privilege allows an application to read and write configuration settings related to mutual TLS authentication using OAuth. This includes creating, modifying, or deleting configuration settings for mutual TLS authentication using OAuth.
  
This privilege is used by applications that need to manage the configuration of mutual TLS authentication using OAuth. For example, an application that needs to allow users to connect to a service using their own client certificates would use this privilege to configure the necessary settings.
  
It is important to note that granting this privilege to an application gives it full control over all configuration settings related to mutual TLS authentication using OAuth. Therefore, it should be used with caution and only granted to trusted applications.
  
In addition, it is recommended to use this privilege in conjunction with other security measures such as access controls and auditing to ensure that the application's actions are properly monitored and secured."
roles,Organization.ReadWrite.All,"Directory.Read.All, Organization.ReadWrite.All",5,15,"Organization.ReadWrite.All allows read and write access to all organization data, including sensitive information such as user profiles, group membership, and authentication configuration. This privilege is typically used by applications that need to interact with multiple users' data at once, such as a customer relationship management (CRM) system or a project management tool. However, it can also be used maliciously by attackers to gain access to sensitive information without proper authorization."
scp,Organization.Read.All,Organization.Read.All,5,15,"Security Implications: This privilege gives an application the ability to read sensitive data about your organization and its users. You should only grant this privilege to applications from trusted sources,and ensure that they have appropriate security measures in place to protect the data they access."
scp,Schedule.ReadWrite.All,Schedule.ReadWrite.All,5,-1,"Read and write access to all scheduling information for calendar events, including details about the event, location, attendees, and reminders. This privilege is used by applications that need to manage calendar events on behalf of users."
scp,Group.ReadWrite.All,Group.ReadWrite.All,5,10,"The 'Group.ReadWrite.All' privilege allows a service principal to read and write all groups in an organization, including group membership and other sensitive information. This privilege can be used by applications that need to manage group resources, but it should be granted with caution as it potentially exposes sensitive data.
  Use cases for this privilege include group management tools that need to synchronize group memberships between different systems, or applications that need to create and manage groups on behalf of users. However, it's important to ensure that the service principal has the necessary permissions and is used only by authorized personnel.
  Guidance:
  1. This privilege should be granted only to service principals that are specifically designed to manage groups and have strong access controls in place.
  2. Ensure that the service principal has the least privileges necessary to perform its functions, as over-privileging can lead to security vulnerabilities.
  3. Monitor the service principal's activity closely to detect any suspicious or anomalous behavior.
  Security implications:
  Granting this privilege to a service principal can potentially expose sensitive data about users and their group memberships, so it should be granted with caution and only to trusted service principals that have strong access controls in place. Additionally, over-privileging the service principal could lead to security vulnerabilities if the service principal is compromised."
scp,ChannelSettings.ReadWrite.All,ChannelSettings.ReadWrite.All,5,12,"Channel settings read write all allows you to change the setting of a channel without being an administrator. This includes changing properties such as the name, description, image, and metadata of a channel. Use this privilege with caution as it can allow users to make changes to your organization's channels that may be malicious."
roles,Teamwork.Migrate.All,Teamwork.Migrate.All,20,12,"Teamwork Migrate All,"
scp,ChannelMember.ReadWrite.All,ChannelMember.ReadWrite.All,5,12,"""extended_description"": ""The ChannelMember.ReadWrite.All privilege allows an application to read and write members in a Teams channel. This can be useful for automating provisioning of users into a channel, or for building applications that allow users to self-service their membership in a channel. However, it is important to use this privilege judiciously, as it could potentially allow unauthorized access to sensitive information if not properly secured. It is recommended to only grant this privilege to trusted applications and to limit the scope of the privilege to only those channels where it is necessary."""
roles,ChannelMember.ReadWrite.Group,ChannelMember.ReadWrite.Group,5,18,"The ChannelMember.ReadWrite.Group privilege allows a user to read and write channel membership information for groups in Microsoft Teams. This privilege is used by the Microsoft Teams service to manage group memberships, and should not be granted to users or services that do not need it."
scp,Channel.Delete.All,Channel.Delete.All,15,12,"The privilege Channel.Delete.All allows a user to delete all content in a channel, including posts and comments, as well as any attachments or images associated with those posts."
roles,Channel.Delete.Group,Channel.Delete.Group,15,15,"The 'Channel.Delete.Group' privilege allows a user to delete a group channel. This is considered a high-impact action, as it can result in the loss of data and communication for all members of the channel. It is important to carefully consider the security implications of granting this privilege, and only do so when absolutely necessary."
scp,TeamsTab.ReadWriteSelfForTeam,"Directory.ReadWrite.All, Group.ReadWrite.All, TeamsTab.ReadWrite.All, TeamsTab.ReadWriteForTeam, TeamsTab.ReadWriteSelfForTeam",5,18,"Allows reading and writing of tabs for the signed-in user's team. This privilege is used by apps that need to read or write tabs for a team, but do not need to access other teams' data. Examples include apps that allow users to create or edit tabs for their team."
scp,TeamsTab.ReadWrite.All,"TeamsTab.ReadWrite.All, TeamsTab.ReadWriteForChat, TeamsTab.ReadWriteSelfForChat",5,10,"The TeamsTab.ReadWrite.All privilege allows an application to read and write all teams' tabs for a user or group, including personal tabs. This privilege should only be granted to applications that need to manage teams' tabs on behalf of users, such as a custom tab management tool. Security implications include the potential for data breaches if the application is compromised, so it's important to use secure coding practices and store data securely. Use-cases include managing tabs for multiple users or groups in a team, or creating custom tabs for specific teams. Guidance includes ensuring the application has appropriate access controls and logging in place, as well as regularly reviewing and testing the application's security."
scp,TeamsTab.ReadWriteForTeam,"Directory.ReadWrite.All, Group.ReadWrite.All, TeamsTab.ReadWrite.All, TeamsTab.ReadWriteForTeam, TeamsTab.ReadWriteSelfForTeam",5,1,"Allow reading and writing of tabs in Microsoft Teams for a specific team. This privilege is used by apps that need to read or write tabs in a team, such as a custom tab app. The security implications are low since it only affects a specific team. Use-cases include a custom tab app that needs to read and write data to a tab for a specific team. Guidance: Only grant this privilege to apps that need it for a specific team."
roles,TeamsTab.Delete.Group,TeamsTab.Delete.Group,15,15,"The privilege allows the deletion of a tab in Microsoft Teams for groups. This can be used to remove unwanted tabs or malicious tabs that may have been added by an attacker. However, it's important to note that deleting a tab will also delete all data associated with that tab, so use this privilege carefully and only when necessary."
roles,TeamsTab.ReadWrite.Group,TeamsTab.ReadWrite.Group,5,18,Read and write tabs for a team in Microsoft Teams
roles,TeamsTab.ReadWriteForTeam.All,"Directory.ReadWrite.All, Group.ReadWrite.All, TeamsTab.Create, TeamsTab.ReadWrite.All, TeamsTab.ReadWriteForTeam.All, TeamsTab.ReadWriteSelfForTeam.All",5,17,"The TeamsTab.ReadWriteForTeam.All privilege allows an application to read and write Microsoft Teams tabs on behalf of all users in the organization, including personal and group channels. This privilege is required for applications that need to create or modify tabs in Microsoft Teams channels.

Security implications: Granting this privilege to an application may allow it to access sensitive information contained in Teams tabs, such as links to confidential documents or internal resources. It may also allow the application to impersonate any user in the organization when interacting with Microsoft Teams. Therefore, it is important to carefully evaluate the security posture of any application that requests this privilege.

Use-cases: Applications that provide additional functionality for Microsoft Teams channels, such as custom tabs or bots, may require this privilege to function properly.

Guidance: Granting this privilege to an application should be done with caution and only after careful evaluation of the security posture of the application."
roles,TeamsTab.ReadWriteSelfForTeam.All,"Directory.ReadWrite.All, Group.ReadWrite.All, TeamsTab.Create, TeamsTab.ReadWrite.All, TeamsTab.ReadWriteForTeam.All, TeamsTab.ReadWriteSelfForTeam.All",5,15,---------------------
scp,ChannelMember.Read.All,ChannelMember.Read.All,5,1,"Grants permission to read all channel member objects in Microsoft Teams, including their display name, email address, and team membership status. This privilege is granted to applications that need to retrieve information about members of a specific channel in a team, without granting access to the entire team's data. Security implications: Applications with this privilege can potentially read sensitive information about a user's team membership or their contact information if they are also granted other privileges. Use-cases: A messaging application that allows users to send messages to a specific channel in Microsoft Teams, but not to the entire team. Guidance: Grant this privilege only to applications that require it for their core functionality and limit access to sensitive data through other privacy mechanisms."
scp,Group.Read.All,AppRoleAssignment.ReadWrite.All and Group.Read.All,5,16,"extended_description: ""Allows the caller to read all groups and their properties, including membership and hidden memberships. This privilege is typically used for group-related queries or for synchronizing group information between systems. Security implications include exposure of group data, which may reveal sensitive information about users or system security configuration. Use cases include provisioning, identity management, or access control auditing. Guidance includes monitoring and limiting use to only authorized parties."""
roles,File.Read.Group,"File.Read.Group, Files.ReadWrite.All, Group.Read.All, Group.ReadWrite.All, Sites.Read.All, Sites.ReadWrite.All",5,1,"Security implications: The ""File.Read.Group"" privilege grants access to a group of related files,which could potentially contain sensitive information. Therefore,it is important to use this privilege with caution and only grant it to trusted applications or users who need to access these files for legitimate purposes."
roles,ChannelMember.Read.Group,ChannelMember.Read.Group,5,15,"View members of a group or team channel in Microsoft Teams. This privilege allows an app to view the list of users who are members of a specific group or team channel, including their display names and profile pictures.

Security Implications:
The ability to view group or team channel membership information can be used for malicious purposes such as phishing attacks or identity theft if the app is not properly configured with access controls. It is important to ensure that only authorized users have access to this privilege, and that the app implements appropriate security measures to prevent unauthorized access or data exfiltration.

Use-Cases:
This privilege can be used by apps that need to retrieve information about group or team channel membership for legitimate purposes such as managing group or team settings, or enhancing collaboration within a specific group or team. For example, an app can use this privilege to build a custom interface for adding or removing members from a group or team, or to display the list of members in a user-friendly format.

Guidance:
When using this privilege, it is important to ensure that the app is properly configured with access controls to prevent unauthorized access or data exfiltration. Additionally, the app should only request the minimum set of permissions necessary for its intended functionality to minimize potential security risks."
scp,Channel.ReadBasic.All,Channel.ReadBasic.All,5,10,"extended_description:""Grants the ability to read basic properties of channels and channel messages. This includes reading channel names, descriptions, creation dates, and modification dates. This privilege also allows reading messages in a channel, but does not allow reading their contents or any other metadata. Use this privilege to build interfaces that display channels and their recent activity without exposing sensitive information."""
scp,ChannelSettings.Read.All,"ChannelSettings.Read.All, ChannelSettings.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All, Group.Read.All, Group.ReadWrite.All",5,14,"Access to channel settings and configuration data. This includes information about the channel, such as its name, description, and membership requirements, as well as configuration settings like whether it is open or private."
roles,ChannelSettings.Read.Group,ChannelSettings.Read.Group,5,18,"""extended_description"": ""Channel Settings Read Group allows you to read channel settings for a group. With this privilege, you can view the settings for all channels in a group, such as the channel's name, description, and topic. This privilege is useful if you need to manage or monitor channel settings within your organization. However, it's important to note that giving too many users access to this privilege could potentially compromise sensitive information. Therefore, we recommend using this privilege with caution and only granting it to trusted individuals or groups."""
roles,ChannelSettings.ReadWrite.Group,ChannelSettings.ReadWrite.Group,5,17,"ChannelSettings.ReadWrite.Group allows a role to read and write settings related to Microsoft Teams channels. This includes the ability to create, edit, or delete channels, as well as manage permissions for existing channels. Use this privilege with caution, as it could potentially allow an attacker to gain access to sensitive information or disrupt the normal functioning of a team. We recommend granting this privilege only to trusted roles and users who need it to perform their job functions."
scp,TeamsTab.Read.All,TeamsTab.Read.All,5,14,"The TeamsTab.Read.All privilege allows an application to read all tabs within a team, including personal and shared tabs. This privilege can be used by applications that need to access information about teams and their tabs, such as a custom team directory or a tab management tool.

However, it is important to note that this privilege also allows the application to potentially read sensitive information, such as confidential files or personal data. Therefore, it should only be granted to trusted applications that have a legitimate reason to access this information.

If you are unsure whether this privilege is appropriate for your application, consult with your security team and follow established guidelines for least-privilege access."
roles,TeamsTab.Read.Group,TeamsTab.Read.Group,5,15,"Security implications: The ability to read team tabs may allow an attacker to gain unauthorized access to sensitive information or intellectual property. Therefore,it's important to use this privilege only when necessary and to follow best practices for securing the app's access to teams and tabs."
roles,ChannelMessage.Read.All,ChannelMessage.Read.All,5,15,"""extended_description"": ""The privilege ChannelMessage.Read.All allows a channel message to be read by the user. This privilege is used in various use-cases such as reading messages from a group chat or a team channel. It's important to note that this privilege should only be granted to users who need access to these types of resources, and proper security measures should be in place to protect sensitive information. Additionally, it's recommended to have a clear policy around data retention and deletion to ensure that sensitive information is properly handled."""
roles,ChannelMessage.Read.Group,ChannelMessage.Read.Group,5,18,"""extended_description"": ""The ability to read messages in a group channel."""
scp,ChannelMessage.Send,ChannelMessage.Send,8,17,"ChannelMessage.Send allows a user to send messages in a Microsoft Teams channel, including private ones. This privilege is used by users who need to send messages in a specific channel, such as an announcement channel or a support channel. It's important to note that this privilege only applies to Microsoft Teams channels and not to other types of chat or messaging systems. Additionally, it's important to be mindful of the security implications of granting this privilege, as it could potentially allow users to send malicious or inappropriate messages. It's recommended to use this privilege sparingly and only when necessary."
scp,Channel.Create,Channel.Create,8,10,Create a channel
roles,Channel.Create.Group,Channel.Create.Group,8,12,"Create a new channel in a Microsoft Teams team. This privilege allows users to create new channels within a team, which can be used for different purposes such as separating different topics or projects. The security implications of this privilege should be carefully considered, as it could potentially allow users to create channels that are not appropriate or that violate company policies. Use-cases for this privilege might include creating separate channels for different projects within a team, or creating channels for different levels of access, such as public versus private channels. It is important to ensure that only authorized users have the ability to create new channels, and to monitor channel creation activity to prevent abuse."
scp,TeamsTab.Create,TeamsTab.Create,8,1,"Create a new tab in Microsoft Teams. This privilege allows an application to create a new tab in a Microsoft Teams channel. The creation of a new tab can be used for various purposes such as displaying information, providing services, or engaging with users. However, it is important to note that the use of this privilege should be carefully evaluated and monitored to ensure that it does not compromise the security or integrity of the Microsoft Teams platform."
roles,TeamsTab.Create.Group,TeamsTab.Create.Group,8,10,"The TeamsTab.Create.Group privilege allows a user to create tabs in Microsoft Teams for groups they are members of, including private channels and chats. This privilege is granted by default to all users with a valid account on the system.

Security implications:
This privilege is considered low-risk as it only allows users to create tabs within Microsoft Teams, which is a widely used collaboration platform. However, it is important to note that if a user has access to a private channel or chat, they may be able to see sensitive information or engage in undesirable behavior.

Use-cases:
This privilege is necessary for users who need to create tabs within Microsoft Teams for their group's collaboration and communication needs. For example, a team lead might need to create a tab to track progress on a project or share relevant documents with the team.

Guidance:
It is important to ensure that only authorized users are granted this privilege. Users who do not require this privilege should have it revoked to minimize the risk of security breaches. Additionally, regular reviews of user privileges should be conducted to ensure that they align with the needs of the organization and that unauthorized access is not granted."
scp,TeamsAppInstallation.ReadWriteSelfForChat,TeamsAppInstallation.ReadWriteSelfForChat,5,14,----------------------
scp,TeamsAppInstallation.ManageSelectedForChat,"TeamsAppInstallation.ManageSelectedForChat, TeamsAppInstallation.ReadWriteAndConsentForChat, TeamsAppInstallation.ReadWriteAndConsentSelfForChat, TeamsAppInstallation.ReadWriteForChat",20,2,"The TeamsAppInstallation.ManageSelectedForChat privilege in Microsoft Graph API allows an application to manage the installation of teams apps for a specific chat in Microsoft Teams. This includes the ability to install, update, and remove teams apps, as well as modify their settings and permissions.

This privilege has significant security implications, as it allows an application to potentially gain access to sensitive data and perform actions on behalf of the user without their explicit consent. It is important to carefully consider the use-cases for this privilege and ensure that it is only granted to applications that have a legitimate need for it.

Guidance: This privilege should only be granted to applications that have a legitimate need to manage teams apps for a specific chat in Microsoft Teams, such as an application that provides additional functionality or integration with Teams. When granting this privilege, it is important to carefully consider the security implications and ensure that appropriate controls are in place to protect user data and prevent unauthorized access."
scp,TeamsAppInstallation.ReadWriteForChat,"TeamsAppInstallation.ManageSelectedForChat, TeamsAppInstallation.ReadWriteAndConsentForChat, TeamsAppInstallation.ReadWriteAndConsentSelfForChat, TeamsAppInstallation.ReadWriteForChat",5,10,"TeamsAppInstallation.ReadWriteForChat allows an app to read and write the teams' app installations for a chat. This privilege is useful for apps that need to manage or monitor teams' app installations for a chat, such as an IT administrator or compliance officer. However, it should be used with caution, as it can potentially grant access to sensitive information or allow unauthorized modifications to teams' app installations. It is recommended to use this privilege only when necessary and to restrict access to authorized users or roles."
roles,TeamsAppInstallation.ReadWriteSelfForChat.All,TeamsAppInstallation.ReadWriteSelfForChat.All,5,10,"The TeamsAppInstallation.ReadWriteSelfForChat.All privilege allows an application to read and write its own installed applications for chat, including adding, removing, or modifying these applications. This privilege is granted by default to the Teams app and cannot be removed. It allows the Teams app to manage its own installation status and ensure that it is properly integrated with Microsoft Teams.

Use-cases:

* The Teams app uses this privilege to ensure that it is installed and running correctly in Microsoft Teams.
* Other applications may use this privilege to install themselves as a chat extension in Microsoft Teams, allowing users to access their functionality within the chat interface.

Security implications:

* Granting this privilege to an application allows it to modify its own installation status and potentially interfere with other applications that may be installed in Microsoft Teams.
* It is important to carefully consider which applications are granted this privilege, as it can allow them to gain unauthorized access to user data or disrupt the normal functioning of Microsoft Teams.

Guidance:

* Only grant this privilege to trusted applications that have a legitimate need to install themselves as a chat extension in Microsoft Teams.
* Ensure that your organization's security policies and procedures are in place to prevent unauthorized access to user data or other sensitive information within Microsoft Teams."
roles,Chat.Manage.Chat,"Chat.Manage.Chat, Chat.Read.All, Chat.ReadBasic.All, Chat.ReadWrite.All, ChatMember.Read.Chat, ChatMember.ReadWrite.All",8,17,"The 'Chat.Manage.Chat' privilege allows users to manage chat rooms, including creating, updating, and deleting them. This privilege also grants access to the chat room logs, which may contain sensitive information. It is important to only grant this privilege to trusted users who need it for their work or other legitimate purposes."
roles,TeamsAppInstallation.ManageSelectedForChat.All,"Chat.Manage.Chat, TeamsAppInstallation.ManageSelectedForChat.All, TeamsAppInstallation.ReadWriteAndConsentForChat.All, TeamsAppInstallation.ReadWriteAndConsentSelfForChat.All, TeamsAppInstallation.ReadWriteForChat.All",20,15,TeamsAppInstallation.ManageSelectedForChat.All
roles,TeamsAppInstallation.ReadWriteForChat.All,"Chat.Manage.Chat, TeamsAppInstallation.ManageSelectedForChat.All, TeamsAppInstallation.ReadWriteAndConsentForChat.All, TeamsAppInstallation.ReadWriteAndConsentSelfForChat.All, TeamsAppInstallation.ReadWriteForChat.All",5,15,"Role that allows reading and writing Teams apps for chat. This privilege is used by applications to manage their own installed apps, including creating, updating, and deleting them. It should be granted only to applications that need this level of access in order to function properly. For example, a messaging app would need this privilege to create and update its own instances in the user's Teams app store."
scp,ChatMember.ReadWrite,"ChatMember.ReadWrite, Chat.Read, Chat.ReadWrite, ChatMember.Read",5,10,"Allows reading and writing chat member information for a specific chat. This privilege is used to manage the members of a chat, including adding or removing them. It can also be used to read and write messages in the chat, as well as update the chat topic or other settings. Use with caution, as it provides significant access to sensitive data."
roles,ChatMember.ReadWrite.All,"Chat.Manage.Chat, Chat.Read.All, Chat.ReadBasic.All, Chat.ReadWrite.All, ChatMember.Read.Chat, ChatMember.ReadWrite.All",5,15,"Security implications: This privilege grants broad access to user data,so it should be granted only to trusted applications and users who have a legitimate reason for accessing this data."
scp,Chat.ManageDeletion.All,Chat.ManageDeletion.All,20,18,"""extended_description"": ""Chat.ManageDeletion.All is a privilege that allows a user to delete messages in a chat thread. This privilege can be used to purge unwanted or offensive content, but it should be used with caution and only when necessary."""
roles,Chat.ManageDeletion.Chat,Chat.ManageDeletion.Chat,8,18,"Allowing users to delete messages in a chat. It gives a user control over the content of their own messages and provides them with a way to correct mistakes or remove offensive content. However, it's important to note that this privilege can also be abused to intentionally delete messages, which could cause harm to others or damage to the conversation. As such, it is recommended to only grant this privilege to trusted users and only for use in moderated chat channels."
scp,Chat.ReadWrite,"ChatMember.ReadWrite, Chat.Read, Chat.ReadWrite, ChatMember.Read",5,12,"Chat.ReadWrite allows read and write access to chat resources such as messages and channels. This privilege is required for applications that need to read or modify chat data, such as a chat bot or a customer service platform. Security implications include the potential for unauthorized access to sensitive information or disruptive behavior in chats. Use-cases may include allowing users to interact with a chatbot or to perform tasks like updating meeting schedules or sending notifications. Guidance is to use this privilege sparingly and only when absolutely necessary, and to monitor usage for potential security issues."
